Date,Heure,Type,Hauteur d'eau,Coef
2026-01-01,02:08,Haute Mer,4.057,81
2026-01-01,08:22,Basse Mer,1.065,84
2026-01-01,14:42,Haute Mer,4.137,86
2026-01-01,20:48,Basse Mer,1.054,90
2026-01-02,03:08,Haute Mer,4.276,94
2026-01-02,09:22,Basse Mer,0.881,94
2026-01-02,15:41,Haute Mer,4.277,94
2026-01-02,21:43,Basse Mer,0.938,99
2026-01-03,04:02,Haute Mer,4.467,105
2026-01-03,10:17,Basse Mer,0.728,102
2026-01-03,16:32,Haute Mer,4.367,99
2026-01-03,22:35,Basse Mer,0.848,105
2026-01-04,04:52,Haute Mer,4.594,112
2026-01-04,11:08,Basse Mer,0.637,106
2026-01-04,17:20,Haute Mer,4.384,100
2026-01-04,23:22,Basse Mer,0.801,107
2026-01-05,05:39,Haute Mer,4.633,114
2026-01-05,11:55,Basse Mer,0.623,105
2026-01-05,18:05,Haute Mer,4.325,97
2026-01-06,00:06,Basse Mer,0.806,104
2026-01-06,06:22,Haute Mer,4.578,111
2026-01-06,12:39,Basse Mer,0.688,100
2026-01-06,18:47,Haute Mer,4.204,90
2026-01-07,00:50,Basse Mer,0.868,96
2026-01-07,07:04,Haute Mer,4.439,103
2026-01-07,13:21,Basse Mer,0.821,92
2026-01-07,19:27,Haute Mer,4.040,80
2026-01-08,01:31,Basse Mer,0.982,86
2026-01-08,07:44,Haute Mer,4.236,92
2026-01-08,14:02,Basse Mer,1.002,80
2026-01-08,20:07,Haute Mer,3.852,70
2026-01-09,02:12,Basse Mer,1.140,74
2026-01-09,08:24,Haute Mer,3.996,78
2026-01-09,14:44,Basse Mer,1.209,68
2026-01-09,20:48,Haute Mer,3.660,59
2026-01-10,02:55,Basse Mer,1.327,61
2026-01-10,09:05,Haute Mer,3.745,64
2026-01-10,15:29,Basse Mer,1.420,56
2026-01-10,21:34,Haute Mer,3.483,49
2026-01-11,03:43,Basse Mer,1.521,49
2026-01-11,09:54,Haute Mer,3.510,50
2026-01-11,16:23,Basse Mer,1.602,46
2026-01-11,22:35,Haute Mer,3.351,41
2026-01-12,04:45,Basse Mer,1.681,40
2026-01-12,11:02,Haute Mer,3.329,40
2026-01-12,17:29,Basse Mer,1.711,39
2026-01-13,06:01,Basse Mer,1.740,38
2026-01-13,12:32,Haute Mer,3.272,37
2026-01-13,18:37,Basse Mer,1.715,40
2026-01-14,01:07,Haute Mer,3.390,43
2026-01-14,07:12,Basse Mer,1.679,42
2026-01-14,13:43,Haute Mer,3.346,41
2026-01-14,19:37,Basse Mer,1.633,46
2026-01-15,02:04,Haute Mer,3.544,52
2026-01-15,08:10,Basse Mer,1.546,51
2026-01-15,14:37,Haute Mer,3.498,49
2026-01-15,20:28,Basse Mer,1.503,56
2026-01-16,02:53,Haute Mer,3.735,63
2026-01-16,08:59,Basse Mer,1.383,61
2026-01-16,15:21,Haute Mer,3.678,60
2026-01-16,21:14,Basse Mer,1.353,67
2026-01-17,03:34,Haute Mer,3.933,74
2026-01-17,09:42,Basse Mer,1.216,72
2026-01-17,16:00,Haute Mer,3.849,69
2026-01-17,21:55,Basse Mer,1.203,77
2026-01-18,04:11,Haute Mer,4.112,84
2026-01-18,10:22,Basse Mer,1.061,81
2026-01-18,16:34,Haute Mer,3.988,77
2026-01-18,22:34,Basse Mer,1.067,85
2026-01-19,04:47,Haute Mer,4.253,93
2026-01-19,11:01,Basse Mer,0.932,88
2026-01-19,17:08,Haute Mer,4.082,83
2026-01-19,23:12,Basse Mer,0.959,90
2026-01-20,05:22,Haute Mer,4.344,98
2026-01-20,11:38,Basse Mer,0.838,91
2026-01-20,17:43,Haute Mer,4.124,85
2026-01-20,23:50,Basse Mer,0.885,92
2026-01-21,05:58,Haute Mer,4.378,100
2026-01-21,12:16,Basse Mer,0.785,92
2026-01-21,18:19,Haute Mer,4.115,85
2026-01-22,00:28,Basse Mer,0.853,92
